original_value,real_value_english
Agriculture,farming
Agriculture and Food,farming
"Arts, culture and history",society
Biota,biota
boundaries,boundaries
Business and Economy,economy
Business and Industry,economy
Category,society
climatologymeteorologyatmosphere,climatologyMeteorologyAtmosphere
Communities and Social Services,society
Community services,society
Crime and Justice,society
Culture and Recreation,society
Departmental Views,society
Economic Participation and Prosperity,economy
Economics and industry,economy
Economy,economy
Economy and Business,economy
Education,society
Education - Early childhood,society
Education - Kindergarten to Grade 12,society
Education - Post Secondary and Skills Training,society
Education - Post-secondary and skills training,society
Education - Primary to grade 12,society
Education and community,society
Education and Skills Development,society
Education and Training,society
Elevation,elevation
Emergency Management,society
Employment and Labour,society
Energy,society
Environment,environment
Environment and food,environment
Environment and energy,environment
Environment and Natural Resources,environment
farming,farming
Financial Services,economy
Fishing and Aquaculture,farming
forestry,geoscientificInformation
Gender & Diversity,society
Gender-Based Violence and Access to Justice,society
Geographic Data,location
Geological Maps and Publications,geoscientificInformation
geology,geoscientificInformation
geoscience,geoscientificInformation
geoscientific information,geoscientificInformation
geoscientificinformation,geoscientificInformation
Government,society
Government and economy,society
Government and Finance,economy
Government and politics,society
Health,health
Health and home,health
Health and safety,health
Health and Wellness,health
history and archaeology,society
Housing Communities and Social Support,society
imagerybasemapsearthcover,imageryBaseMapsEarthCover
Infrastructure and Transportation,transportation
inlandwaters,inlandWaters
Immigration and migration, society
Internal government services,society
Justice and Public Safety,society
justice,society
"Lands, Forests and Wildlife",environment
Leadership and Democratic Participation,society
Lidar,elevation
location,location
Mines and Minerals,environment
Municipalities,boundaries
Nature and environment,environment
Nature and Environment,environment
natural resources,environment
oceans,oceans
Permits and licensing,economy
Planning and cadastre,planningCadastre
planningcadastre,planningCadastre
Population and Demographics,society
"Poverty Reduction, Health and Well-Being",health
Procurement and contracts,economy
Public service,society
Quarterly Datasets,society
"Roads, Driving and Transport",transportation
Science and technology,geoscientificInformation
service,society
social services,society
society,society
structure,structure
Transport,transportation
Transportation,transportation
"Transportation, Infrastructure and Energy",transportation
utilitiescommuncation,utilitiesCommunication
